file,year,kai,track,nichi,bytes
2026-1nakayama6.pdf,2026,1,nakayama,6,665245
2026-1nakayama7.pdf,2026,1,nakayama,7,768233
2026-1nakayama8.pdf,2026,1,nakayama,8,661364
2026-1nakayama9.pdf,2026,1,nakayama,9,725237
2026-2nakayama1.pdf,2026,2,nakayama,1,714921
2026-2nakayama2.pdf,2026,2,nakayama,2,733338
2026-2nakayama3.pdf,2026,2,nakayama,3,690231
2026-2nakayama4.pdf,2026,2,nakayama,4,753927
2026-2nakayama5.pdf,2026,2,nakayama,5,736090
2026-2nakayama6.pdf,2026,2,nakayama,6,729631
2026-2nakayama7.pdf,2026,2,nakayama,7,667601
2026-2nakayama8.pdf,2026,2,nakayama,8,718852
2026-3nakayama1.pdf,2026,3,nakayama,1,722720
2026-3nakayama2.pdf,2026,3,nakayama,2,697951
2026-3nakayama3.pdf,2026,3,nakayama,3,694449
2026-3nakayama4.pdf,2026,3,nakayama,4,735041
2026-3nakayama5.pdf,2026,3,nakayama,5,666697
2026-3nakayama6.pdf,2026,3,nakayama,6,696311
2026-3nakayama7.pdf,2026,3,nakayama,7,656040
2026-3nakayama8.pdf,2026,3,nakayama,8,747559
2026-4nakayama1.pdf,2026,4,nakayama,1,727756
2026-4nakayama2.pdf,2026,4,nakayama,2,693949
